frame_start	frame_end	Midbrain	Pons	Medulla	SCP
0	30	6.889	14.49337	29.3807	10.70635
30	60	1803.9729	1637.21056	1790.22264	977.72012
60	90	6462.3879	5538.51866	5326.965	4303.50736
90	120	11320.09252	9672.93419	9720.91987	8646.68919
120	150	16644.12234	14973.23099	14067.01187	11544.06587
150	180	19158.57033	16426.66239	16003.91289	13491.10744
180	240	18718.50772	16710.21883	15619.55966	13905.18379
240	300	18403.43515	16716.67715	15299.22982	14744.32589
300	360	17875.94944	16569.80067	15136.69424	13255.07167
360	480	17458.95086	15812.53829	14604.18349	13684.97056
480	600	16593.86871	14650.9348	14367.1938	13885.03784
600	900	15625.06199	13974.16563	12869.74137	11420.18198
900	1200	13941.55393	12903.97437	12062.94448	10497.56065
1200	1500	12487.21929	12024.99766	10789.95651	9187.46652
1500	1800	11445.62922	10963.85962	10088.91655	8693.03259
1800	2100	10035.21234	10101.57606	9600.9336	7493.03668
2100	2400	8594.17315	9601.03396	8684.67144	7778.82746
2400	2700	8075.89904	8560.1083	7722.71347	6572.20852
2700	3000	7499.57427	7767.06045	7561.22604	6032.69625
3000	3300	7028.30825	7554.99857	7148.89754	6127.80475
3300	3600	6346.86103	6913.14754	6112.61595	5217.30409
3600	3900	6023.36057	6832.81618	5379.90551	5569.2942
3900	4200	5457.93936	6520.37223	6019.07081	5350.15425
4200	4500	5026.6157	5621.34536	4969.57625	4109.14041
4500	4800	5000.2972	5591.30614	5045.90315	4527.32911
4800	5100	4934.45811	4970.9689	4525.82845	3875.89063
5100	5400	4778.47649	5069.42101	4142.38497	3443.17663
5400	5700	3907.04639	4968.66755	4298.96131	3414.24888
5700	6000	4235.75552	4215.74768	3693.66069	3188.4311
6000	6300	3656.26866	4194.09746	4248.52053	4517.64813
6300	6600	4902.80559	4973.59238	3818.63341	2693.11208
6600	6900	4180.38261	4013.77499	3649.31679	2216.802
6900	7200	4507.57409	4172.31141	4985.07002	2065.90259
