frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	18.37187	8.35317	26.47025	18.71162	21.38793	29.78081	20.61768	7.60057	16.83012	38.24091	16.16939	40.19985	40.37754	30.41923	7.69933	8.78798	3.18706	7.74418	8.14524	12.16826	25.58525	31.77911	16.68629	2.84916	17.39962	13.51585	25.57128	16.92527	1.98691	13.74233	92.4733	4.72916	157.43076	21.50052	1.19154	4.67642	34.42438	9.65852	34.03352	14.55436	12.68193	7.00692	33.85576	8.61898	14.10895	17.14011	6.16002	6.29707	25.21625	14.64554	20.66507	22.96657	2.78529	9.09194	14.1032	6.7106	25.60419	11.02637	19.09963	3.27562	16.29529	7.62062	31.36482	22.44761	10.89362	11.98591	29.15943	21.9726	8.45261	9.67213	19.82341	53.81742	18.01395	12.83238	15.45123	15.63742	31.75236	22.93752	11.70493	20.77571	10.72407	18.19551	30.15722	11.79955	15.09622	18.10549	47.8463	11.9731	37.67729	13.12011	15.05997	3.77351	13.50984	6.78571	15.5037	8.50119	14.15728	11.82709	20.26421	3.93667	31.31301	11.8036	53.93488	54.60802	15.86696	16.76629	19.98526	15.31172	7.60799	7.50601	9.18222	11.88917	16.30755	12.94252	28.07409	6.05107	21.63747	12.68537	14.50779	14.74149	9.43469	4.80765	9.9203	13.26799	24.55614	10.58957	16.29328	8.52725	13.84598	17.05391	30.20795	17.53203	12.57049	12.49164	21.23384	14.36572	4.17716	7.30332	14.255	27.16514	11.78942	8.68291	10.29193	21.30322	37.73981	25.76841	9.70994	26.14165	15.69475	19.10836	19.50836	22.64854	23.86983	15.43753	61.05295	8.98134	12.30122	9.34011	9.8463	5.34832	13.53472	9.28459	16.58009	9.92904	9.27945	7.49514	24.91581	4.95009	21.29318	12.60617	23.36458	38.96647	20.39281	11.8915	17.87324	12.69459
30	60	1269.7562	1741.62856	1695.12725	2198.77196	2128.84126	1858.66794	2391.97491	1827.72019	1728.16216	1680.65298	1736.73153	1997.80696	2070.38414	2948.55868	1868.80482	1885.40148	2025.69319	1827.95378	1304.65209	1735.81046	1528.53522	2149.64699	2303.84193	1813.17294	2761.08717	1961.49111	1898.11147	1842.55959	1594.19524	1628.43285	2051.00604	2297.7316	2118.0531	911.50195	1667.72626	1006.70441	1157.73307	1723.51077	2723.34477	1965.84064	2492.69807	2558.13327	1412.35699	1990.89897	2260.92083	1997.44646	2190.63551	1908.64998	2691.27153	2508.18926	2691.25956	2017.29656	2070.62792	2074.17603	2939.57127	2218.84917	2292.34623	2730.02032	2498.25789	2522.75392	2356.15965	2405.35669	2447.21867	2296.30344	2507.1745	2001.88023	2460.03199	2493.27835	2525.77019	1843.31772	3345.2464	2957.57077	2501.45998	2831.53906	2230.25835	2396.68294	1793.41996	1839.42426	2233.64514	1999.37528	2467.47224	2169.11366	2530.58464	2487.73555	2743.62199	2022.73491	1882.66443	2586.58305	2963.10258	2699.21636	2444.79734	2956.43108	2470.09745	3034.3874	2448.65895	2648.74941	2740.88183	2499.33249	2706.88826	1961.59689	2765.85941	2417.23239	2380.61285	1686.71568	3491.12287	2395.73719	1666.53118	991.73159	1666.19746	2072.84829	1517.16841	1492.18232	1672.37631	1611.57784	1192.22316	1698.65967	1789.76536	2124.36637	1812.17753	1565.17132	1683.61375	1394.68736	1968.9274	2123.26347	1521.09812	1699.88262	2037.84199	1386.98593	1723.44927	1561.05351	1355.35861	1659.4046	1782.83781	1648.58639	1630.61955	1623.05	2131.39857	2470.85004	2594.52569	1752.22028	1588.28474	1540.38231	1472.65324	2229.49721	1626.93272	1330.12578	1687.26873	1554.03581	1470.71824	1747.9489	1504.92825	1958.98135	1714.00834	1352.62561	1704.26067	1601.48023	1580.43158	1901.64495	1532.42114	2115.94995	1956.1466	1643.86233	1557.55627	1732.12422	1801.19551	1678.89095	1926.62519	1608.39392	1977.01797	1524.97948	2161.43268	1484.13178	2687.99957	1678.55539	1008.73367	1052.26421
60	90	4638.98556	7645.79522	6290.14929	7926.56928	7469.2038	7138.67506	8811.59712	7350.70499	6554.03079	5013.62719	5733.59791	6798.75491	6105.80818	7342.6968	7416.62127	6331.03241	5858.64381	7560.24173	3932.53333	5447.88505	5927.38526	7976.06449	8362.8872	6742.00274	9426.05388	6997.97066	6266.74025	5428.13592	7763.92271	6146.47157	7661.76204	6763.74554	6455.78926	3867.84847	4649.56224	3547.38094	3886.10819	3212.49459	8405.72041	7280.67865	8822.42381	8596.61585	5460.00167	7035.38093	7845.16076	7256.37972	7861.31474	7119.93052	8951.01798	8778.00863	8135.48348	7404.84914	7018.81445	7216.20414	8856.66152	8185.30667	8455.30736	9912.58345	7855.39649	8220.53701	8332.97574	8853.99574	7730.58262	8486.88012	8643.95032	7463.36437	8100.10509	8176.21677	8977.20042	6045.08938	11619.69016	8550.53217	8071.50896	9149.65064	9070.84039	9724.31448	5099.43634	6904.33725	7989.55051	7368.51325	8876.28785	7791.7578	8321.75987	8558.57668	8928.89241	7724.36074	6424.04726	8946.83569	10032.55813	8910.74819	8994.39034	11632.84225	8151.91461	9355.47311	8494.28446	9247.16611	8376.83621	9104.0703	8945.15649	7098.7708	7899.99632	8480.94534	8151.58721	5952.64845	9991.45409	7507.2003	5230.73516	3835.95772	6408.30696	6834.23901	5507.22475	5346.80172	5912.14461	6282.26867	4850.60762	6016.78076	6340.89504	7152.6578	5608.90409	6151.51669	5830.67582	4609.01083	6308.19305	8242.93788	6222.78251	6412.29442	6945.75868	4451.93743	6094.51549	5520.96592	4025.94824	6091.14094	6051.50881	5742.78876	5425.60103	5732.65032	8041.93956	6812.54246	9874.70512	5861.60971	5254.34678	4604.27767	5371.22052	8430.54366	5013.86138	5586.7244	5728.69517	5937.57401	5222.83272	6346.29071	5618.74455	6991.80927	6293.38314	5348.37034	6063.80767	5669.63224	5859.71749	7068.68803	5791.10041	8076.78855	6554.04777	5262.11444	5545.23559	6006.5588	5369.20172	6136.15078	6196.78093	5654.53712	5956.67984	5246.52049	8446.91932	5674.53577	8316.63976	5607.98618	3574.54221	3431.74054
90	120	7727.61411	11340.55043	11106.93481	14515.85627	14157.32098	13493.47775	16905.09608	13164.68099	10260.46919	9178.25289	10034.62005	11937.58306	10451.01873	14183.08416	13993.47784	11236.34509	9151.75087	12586.03858	7822.06443	9904.32873	10917.13683	14786.03737	15165.64357	13836.7114	16609.31573	12563.80398	10981.59102	10653.35148	14982.02619	11258.85611	10341.67822	12967.78235	9077.46777	6287.01143	7382.01589	6024.81081	6757.43484	6327.78303	15138.27081	12959.4179	16471.15641	16039.48829	9857.77227	12719.68535	14550.52842	13077.35007	15088.81232	13475.67276	15481.50604	16348.55172	14952.38393	13804.81706	12656.2954	14133.23585	16205.20728	14415.2519	15868.59543	18453.64501	14205.46728	15391.29381	15232.1291	16247.02808	14144.31862	16023.62168	15755.06604	14021.05273	14602.7507	14626.72516	15588.78045	11075.4941	20223.78755	14970.3945	14923.29593	16151.48602	16093.89581	17193.53224	8728.94879	12234.30085	14583.56501	13036.58718	15766.79775	14248.56189	14676.44039	16145.71497	16007.77597	14063.90112	10831.93583	14934.39725	16730.31595	15807.61704	15677.88552	19789.94337	14700.78171	16385.40509	15460.69411	16449.75503	16196.37711	16632.0212	16129.571	12898.58899	14500.44996	15176.98396	14450.78181	9711.20726	18258.87619	13052.25599	10772.99592	6984.79752	11176.37255	13045.28464	8982.48579	9438.03469	10817.30023	10749.6113	8484.16895	11200.01706	11181.14902	13030.47603	11026.48255	11347.89385	11917.1033	9404.99022	11238.05028	14602.883	11540.05622	11695.97636	12814.72943	8503.50925	10738.78296	10134.41741	7747.71805	11512.08269	10986.61804	10885.05343	10222.8171	10260.83165	14971.57972	11957.62084	16896.96595	10814.64806	10013.0047	8773.03435	10034.15196	15557.72604	9208.78838	9936.85529	10757.6214	11056.79978	9143.2252	11511.52613	10673.01109	13109.94977	11468.61584	10027.73607	10271.53169	9807.96806	10246.32528	13979.04752	10365.18687	14050.92143	12303.09864	9275.83493	10407.28808	10961.52913	9796.32576	11281.59608	11552.13851	10294.8315	11295.67291	10078.6431	14139.65375	9526.51556	15792.38456	9810.15276	6218.28723	6579.68421
120	150	10989.73623	16622.59451	16860.17104	21469.10494	20175.82861	19656.84092	24360.1548	19028.70157	17336.02962	12555.69451	15281.7546	16903.00495	14327.48673	20276.1868	21656.45559	16368.43363	17300.24872	15149.47109	10595.55704	14122.88048	16251.39953	21325.22014	21300.3315	19155.94733	24225.83586	17762.61873	16406.01649	14808.54775	19700.95303	15731.52483	14038.48177	17543.70244	9610.12519	8449.11267	11152.13115	8001.74075	9251.14152	7570.70821	21527.07153	18072.00279	23732.21559	23065.65184	14984.16113	19312.74876	21272.8946	19207.89181	22496.35223	19523.50213	22245.66121	22838.91033	21245.22307	19802.82157	17427.44299	21048.74272	23194.85936	20502.0397	22657.60456	26730.39573	20734.7671	22186.7636	21943.5389	23873.12663	19566.76658	22801.36714	22436.32592	20340.78653	20279.14725	21348.10617	22603.26152	17145.00091	28616.76926	20811.24852	21137.62471	20863.83985	22903.21347	23993.50314	13700.41527	18355.22801	21491.75374	18850.20256	23196.85456	20830.51235	20927.73558	22834.89042	22956.70009	20466.97828	16014.31523	22153.86941	24489.71017	22761.02874	23227.1548	28284.25149	21875.57873	22859.25115	22469.00364	23896.34648	21943.97389	24070.53039	23291.92306	19412.63682	20507.31213	22141.24319	21670.22539	15303.54693	27116.42706	18927.50528	14959.28799	9975.68366	15838.59673	18535.05277	14820.83635	14349.08332	15639.69688	16074.10117	12702.57365	16088.34117	15690.5862	18648.63086	15038.51335	17110.38609	16630.69643	14071.2959	16420.67155	19747.81538	16436.43543	17169.82971	18943.05819	11929.11291	15614.96521	15040.12691	11434.90613	15935.08201	15636.36796	15832.68762	14853.59127	15120.55207	20754.9292	17707.15755	25052.02282	15078.69758	14269.47647	11306.82131	14065.20594	20892.11884	14241.03477	14597.78603	15397.69013	15581.55407	13270.7125	17088.04527	15290.28646	18724.34431	16533.44715	14349.28902	14765.96679	14312.69961	15336.70881	20886.74873	15446.02648	20295.91345	17797.73517	13256.32351	15339.05743	15862.91612	12925.00114	16628.77709	16589.27088	15632.00124	15819.38513	14759.60865	21397.5712	15056.37118	22862.67893	14202.06679	9292.16535	9076.55335
150	180	12770.78892	19044.28274	18942.33868	23945.87611	23131.23268	22657.64824	27480.24359	20716.79291	19502.0608	14312.28554	16916.75671	18334.54061	17160.0161	21603.7491	24479.65474	17853.04668	17764.88492	17020.15731	12067.85405	15416.47386	18384.15359	24161.20572	24993.3457	22342.01209	27362.50788	19342.80777	16748.47977	16502.48396	23342.44147	17693.92158	16292.15926	18279.46764	10368.24652	10550.37026	12601.27558	8489.36256	10825.14582	8808.39733	24328.63455	20334.37476	25626.61842	25896.16081	15350.00319	21392.80552	23639.73673	21907.61703	24589.90437	22546.61708	24520.84392	25954.116	23645.3167	22016.27403	18368.04768	23683.53284	25480.84098	23036.84048	24649.92905	30381.91984	23288.06094	25701.67531	23983.81249	27010.53231	22623.43816	26135.53811	24695.97577	22673.70548	21975.8591	23583.17897	24797.71017	17314.22533	31496.32248	22655.1588	23908.85603	23552.80146	26030.68719	26886.25439	15461.01579	20249.93676	24056.63956	21816.06254	25149.74627	23298.48614	22928.35375	25213.52079	24626.08267	22651.4018	18345.8181	24243.7935	27503.43451	24411.67826	25705.16095	31563.46739	24493.64664	26712.41599	24504.04306	26697.47967	22825.19521	26379.88238	25591.02385	21936.52848	22096.09442	24688.68743	25495.84263	17118.40809	31097.2815	21561.66911	16892.96708	10806.66007	16816.36263	21553.86288	15191.96513	16710.50417	17578.46311	18479.943	14717.36223	19182.98742	18160.10039	21177.14475	17518.69546	18582.18327	16894.53272	16356.90521	18219.91766	22444.97742	18140.06995	19609.14276	20732.57861	13079.53921	16860.29707	17251.51596	13072.77095	18108.19723	17295.81489	17838.61636	16254.89952	17647.10702	23484.88527	19614.28676	26699.82901	17130.91464	16136.2709	13329.64127	15755.09142	23924.40729	17929.61153	16926.3929	17917.21402	18917.35771	15629.6896	18960.50472	17263.87455	20847.74171	17994.32027	16234.56199	16824.8596	16647.1895	17632.21226	22398.39839	18064.01941	22142.22298	20359.58945	15013.6093	16888.4182	17631.87889	12835.49405	17804.72359	18078.54115	17661.05845	17303.33806	16539.61482	23992.39725	16477.39375	27299.57749	16430.57272	10345.69858	10269.61577
180	240	12416.27212	15598.13863	19816.73906	24648.39965	23712.43373	23570.51112	28582.03133	22135.75713	18577.57016	14372.75841	16985.94196	18099.33573	16742.84525	20196.52066	24742.14351	17946.37507	16867.63163	16880.67635	11286.08255	15108.45596	19146.5725	24808.82457	25078.67045	22987.11713	27409.88073	20139.02217	17836.55932	17402.90883	24208.34093	17550.97177	17841.5306	16747.2899	9473.30127	8891.32473	10826.63083	9426.18929	9693.44507	9405.63034	23580.57307	20412.27793	26321.75398	26396.72666	16278.96752	21723.66467	24248.47092	22572.76635	23939.62004	22735.22067	24272.81033	25937.40636	23588.92263	22460.26693	19626.29932	24443.13603	25333.67714	22343.03165	25101.14178	30082.3631	23557.40377	25108.71361	24481.75793	27421.30553	22824.8132	26315.45244	24946.58663	23244.27601	22393.64405	23928.03895	24587.08095	18854.2738	28776.28256	22175.16343	24586.42688	22701.95838	25664.44051	27074.3481	15366.83509	21151.34457	24380.2545	21679.46012	24945.71995	24105.62168	22915.78856	25839.91613	24611.70205	23076.75251	17922.82908	24287.83179	26458.2765	23973.55404	25316.82799	31299.66209	24072.57729	26072.89495	24912.96835	26860.25562	23688.52767	26694.64604	25365.82529	22450.06623	22054.92144	24601.77912	24824.6028	17075.60108	30268.13574	21259.96943	16902.1314	11270.2986	17107.71294	22006.79205	17252.52955	16972.99911	17884.60662	18954.95742	14248.52183	18822.23165	19247.94682	21387.15007	17926.37928	19270.04815	18338.27099	16354.74206	18628.4879	23432.95027	18813.55484	19982.57853	21604.12659	14000.08528	17682.95627	17505.01096	13360.20919	18522.37543	17677.76033	18101.12765	16493.85607	17304.21631	25050.60172	21217.37491	25245.48776	17680.08726	16688.6116	12651.63611	16173.12397	24384.27809	18518.23974	17338.8863	18019.83493	19098.95138	14980.41241	19827.77136	17792.7884	21327.54059	18000.85222	17108.35548	17375.24998	16133.78621	17359.67388	23987.30662	17811.44916	22103.55281	20375.89963	14624.81508	17085.66425	18279.18193	14485.301	18459.48157	18183.51739	18081.63611	17191.66515	17174.31209	24123.96011	17243.40572	25703.3266	16332.38241	10643.57502	10220.76512
240	300	11777.47104	16897.233	19085.6708	23905.24364	24085.80379	22497.59625	27180.6093	21605.64805	19404.9896	13600.18321	16939.89681	18062.5031	16805.29306	19957.39746	24049.38678	17597.8323	14791.35187	14481.03203	11409.49919	14976.19174	18523.81062	23969.47921	24103.40126	21951.46818	27699.82326	20157.4815	16813.25182	15756.84704	23861.01904	17099.58491	16232.12834	14878.39824	8200.01659	8820.08408	10709.49231	9151.16889	10537.39285	9315.36652	23287.75676	20060.31217	25451.27026	25497.08534	15929.50095	22056.8135	23376.08468	21937.55014	23350.97382	21776.82155	22894.56266	25161.49651	22653.53784	22309.51198	18911.00233	23975.4835	24693.43827	21909.17787	23903.68497	28948.87904	22851.2696	24512.71255	23707.0491	25943.41655	21878.44826	24859.3681	24019.88066	22556.38681	21693.78668	23384.23882	23702.46973	17516.50103	26808.52149	21440.56061	23519.74248	21664.53395	24991.92416	26352.49791	15114.86619	20744.56735	23500.12099	21355.95303	23088.52287	23103.48512	22598.69875	24552.06712	23855.41766	22308.39196	17613.14802	23213.24937	24938.35391	22824.41419	24253.98206	29187.16416	23241.3243	24337.88218	23801.81099	25842.38051	22991.50085	25437.81915	24337.45406	22292.88288	21784.5519	23899.31742	23862.97685	16900.66299	25270.92553	20741.81043	16962.67676	11394.97577	16959.94814	21439.47216	16635.16884	17342.90127	17502.65782	18655.5835	14570.1842	18402.75677	18424.12571	21353.42746	17621.75098	18921.48169	18082.33242	16754.28279	18704.48461	23279.33028	18316.05769	19773.45698	20566.77644	13791.87346	17009.75691	17293.81211	13453.67048	17865.92484	17176.82239	17681.1558	15878.59189	17291.34756	23794.88109	20115.89253	24201.03355	17308.88223	16280.99527	12735.24437	15730.17651	23279.18475	18749.29019	17386.61932	17603.3834	19245.38658	14421.69774	19093.74408	18405.03449	20299.26825	17731.93317	17110.40257	16475.2296	15308.96853	16915.35817	22776.05028	17924.56914	20867.94428	19600.39365	14121.97867	16617.00878	17783.57088	13975.31185	17985.82123	17562.27291	17654.00628	17377.30962	17108.1302	23705.97575	18083.1744	21572.01335	16535.30171	10618.59993	10308.69062
300	360	11064.69592	14711.53445	18672.31947	22663.08088	22710.37018	21863.46395	26080.19615	22132.91794	18112.13578	13286.72783	16670.74636	17124.10818	17311.60498	20177.44498	22262.31539	17513.7958	16115.72158	12551.75389	10234.08372	12750.27654	17853.83882	22817.56941	23866.82569	20813.55292	25899.63432	20104.57313	16467.97209	15874.37997	23004.80442	16495.26697	17208.00236	13739.42768	7423.65639	7982.66197	10119.12913	8430.12932	9211.54669	8931.88549	22489.713	19635.83426	23569.438	23644.20609	16200.11739	20792.3357	22057.65191	21101.96387	21463.37047	20611.82518	22272.354	23471.74636	22370.62957	20955.13279	18350.87962	22282.45309	22999.56069	20658.69616	22403.624	25464.11144	21707.24139	22746.5993	21803.23712	24374.76767	21665.22061	23683.68089	22349.36536	21263.11408	20660.19073	21881.64948	21302.25321	17547.34188	25408.6342	20571.3618	22287.16238	20769.13157	23176.67202	24473.00595	14322.21771	20319.03446	21958.57928	20245.14406	22058.6008	21582.44274	21158.18634	22800.33148	22746.33982	20948.27845	16836.77154	21507.40328	22745.0489	21889.04187	22357.83932	26850.41987	21921.43734	23333.57857	22436.7861	24243.37086	21681.76594	24075.99118	22805.79588	20592.36209	20782.17733	22534.44564	22290.53285	17245.68451	25386.27813	19674.84372	16081.06756	11540.70035	16257.3984	20374.65059	17332.4641	16653.60241	16922.01842	18333.23402	13872.72574	17468.79944	17587.9015	19976.64697	17239.02083	18071.55603	18248.44585	15619.90883	17461.72892	21953.26108	17307.66288	17573.59118	19794.44654	12740.45997	16043.98954	16458.14725	13396.64732	17052.61181	16484.8521	16607.43922	15657.58968	16482.14579	20879.30265	19834.23159	22872.39687	16667.31647	14960.10398	12294.39301	15015.69599	22311.8117	17493.19809	17347.3144	16838.66038	18178.06839	14342.6416	18258.6604	17163.66667	19020.51333	17126.2713	15851.23241	16806.8267	15004.72594	16166.44824	21506.26885	16826.14101	19733.38314	18470.89612	13929.28722	16166.17842	16813.63486	13219.25891	17522.06085	17107.3813	16696.6684	16813.47419	16377.38701	22200.73541	17805.91331	21642.73973	16245.29627	10459.05672	10152.52999
360	480	8993.16042	13978.01121	17682.96565	21080.61847	21494.80728	18680.26099	23595.31355	20453.75446	17520.1166	11641.25459	15872.96877	16224.88321	16265.69535	15830.10262	22383.85903	16881.34116	19153.96747	10418.92006	8569.6368	12197.10425	16806.31424	20997.23418	21507.15034	17928.98862	23582.89319	19672.38843	14919.7633	15469.14075	21925.30196	16830.09218	17385.17912	11877.65696	9146.81926	9597.18843	10516.90093	9348.75689	9879.61957	8756.80198	20582.22989	19333.35643	20879.52015	20927.18441	16094.20647	19626.31735	19868.5134	19875.41437	19876.7165	18595.71942	20280.15853	21243.60042	20080.40195	19369.14342	17259.48031	19526.5667	20110.28861	20589.85123	20360.77651	22227.47846	18867.79427	21612.72694	19744.93983	22067.66799	19047.81294	21318.42065	20107.89373	18956.07629	19578.72544	19461.47035	20415.0872	17108.50616	23734.9229	19500.51299	20657.91499	20251.03943	20236.63338	21099.27227	14923.85625	19069.1946	20228.21002	19485.85402	20841.33341	19734.22516	19370.96672	21004.94663	20694.10729	19980.90923	15925.99366	19638.61807	21415.81475	20900.27886	20523.90198	23529.44823	19384.66938	22502.32397	19921.03114	21710.88368	19199.72581	21667.38986	20190.92552	18421.23468	19201.94557	20033.43775	20293.56444	15775.37619	22577.5983	18638.41356	15940.23308	12190.46715	16214.98076	18973.22022	16444.89322	15063.12273	16449.33125	16785.32323	12857.06822	16401.09853	15558.37774	18107.24568	15810.82995	17227.75285	16476.41184	14737.57131	16350.37532	19714.08775	16127.63771	15715.81618	18223.91069	13212.8222	16264.26738	15553.59853	12952.00383	16865.21081	16162.96776	16731.58707	15662.86096	15883.66935	19736.68059	18675.6387	22237.8563	15784.24118	15496.50097	12971.96041	15299.00999	20111.25572	16319.37648	15496.75679	16540.59653	16570.95873	13856.33414	17043.84641	14862.95543	17741.42373	16271.62656	15831.66485	15364.97382	14850.66586	15829.59612	18421.53147	15802.11938	18054.52237	17382.02398	14724.71297	15720.47756	16061.1689	12480.23876	16991.92395	16364.3664	16354.39161	16463.44854	15320.07326	19124.91195	15511.27754	20447.19928	15273.54294	10159.64293	9970.36327
