frame_start	frame_end	Midbrain	Pons	Medulla	SCP
0	30	500.0918	316.0103	379.71861	152.34416
30	60	5241.97129	4495.17178	4332.90366	3741.18634
60	90	9777.20839	9064.46112	9018.31928	7412.25372
90	120	16029.44962	13858.46328	12570.97439	12175.85662
120	150	20096.60695	17906.51813	16696.64825	15952.51801
150	180	20833.01595	20098.2751	17576.95348	16223.32186
180	240	20393.35239	19304.55174	18113.17173	18121.01977
240	300	19930.15123	18953.1065	17856.4068	18475.29523
300	360	18328.63562	18010.47835	16347.02338	17557.30852
360	480	18287.18635	16786.53395	15584.20435	14880.13158
480	600	16502.19533	15690.19043	14614.15534	13121.06627
600	900	14436.80571	14492.65738	13132.62565	11075.27812
900	1200	12822.17369	13152.9005	11712.32859	10265.60434
1200	1500	11471.70557	11896.51162	10497.61647	9265.84017
1500	1800	9932.45371	10693.46432	9439.14438	8263.86614
1800	2100	8835.89861	9729.81362	8740.65036	7833.8955
2100	2400	8090.02789	8876.06331	7770.50885	6965.37632
2400	2700	7189.00946	8139.81435	7019.97377	5805.63937
2700	3000	6322.59282	7561.14216	6694.47068	5382.25229
3000	3300	6070.98743	7316.59802	6311.94938	6037.38228
3300	3600	5930.59151	6777.71176	6001.81172	5009.06426
3600	3900	5173.72087	6081.83261	5342.02975	4665.45295
3900	4200	4899.99179	5486.35778	4813.93153	4607.39324
4200	4500	4625.04245	5775.52063	4863.9735	5410.25961
4500	4800	4570.86931	5207.55366	4490.76175	3913.32
4800	5100	4236.1523	4869.88362	4171.90537	3934.14162
5100	5400	4317.56892	4975.20842	3878.97654	4268.97715
5400	5700	3615.0393	4648.76112	3307.44603	4328.20102
5700	6000	3777.92683	4368.29049	3669.63562	4288.15103
6000	6300	3278.3134	4106.76643	3703.44209	3151.78551
6300	6600	3404.82978	3851.92851	3726.12242	2338.63192
6600	6900	3529.3209	3528.26209	3501.02105	2477.06377
6900	7200	2991.43523	4168.49852	3502.98172	2988.54561
