frame_start	frame_end	Dorsal-Raphe	Medial-Raphe	Pons
0	30	1016.03641	180.07649	328.33752
30	60	5558.59834	4033.88127	4851.96798
60	90	10961.52734	10795.24509	10338.21934
90	120	21413.02652	15606.05619	15937.2059
120	150	24869.08431	16714.39864	20761.39993
150	180	30714.93329	19382.28035	23284.08038
180	240	28901.58933	22184.40128	21851.42538
240	300	27039.21278	22267.71001	21655.84083
300	360	21864.48681	20842.90775	19985.54856
360	480	23500.97312	18331.66811	19074.60874
480	600	20450.52152	17254.14016	17899.68752
600	900	17875.82933	16426.36977	16365.77737
900	1200	15353.13556	14650.52644	14843.8996
1200	1500	13290.34714	12602.03226	13220.19111
1500	1800	11030.44872	10774.04412	11872.4482
1800	2100	9583.0449	9538.37494	10678.31881
2100	2400	7526.35142	9137.35067	9733.36051
2400	2700	5858.76032	6944.69967	8663.86927
2700	3000	6373.59708	7763.6195	8510.6504
3000	3300	5744.09226	7800.03573	7952.0981
3300	3600	7258.53037	6175.08001	7197.68545
3600	3900	4546.29637	4809.64448	6876.04564
3900	4200	5673.28087	4591.76821	5837.07086
4200	4500	3436.4045	4872.57418	6584.19115
4500	4800	3638.88462	3919.66567	5806.61829
4800	5100	3994.76716	4487.86327	5855.93897
5100	5400	3320.09942	3441.80867	5603.93895
5400	5700	2035.21102	2938.90427	4699.18155
5700	6000	4225.09422	6678.08754	4476.12598
6000	6300	3403.5938	4474.00434	4403.80144
6300	6600	1911.68366	2456.61356	3913.33967
6600	6900	3458.14948	2313.28594	3843.38527
6900	7200	2173.88642	6785.24366	4186.76584
