frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	206.08422	680.25662	351.36377	402.96937	293.36729	294.10153	377.6196	263.95072	260.68097	397.98209	381.11412	509.26591	360.15858	367.0009	288.74108	481.30838	833.8525	439.53731	224.58458	367.41687	383.65332	386.57477	337.77879	253.51054	403.64695	401.91093	482.35567	514.71545	460.022	293.64217	272.12872	330.27082	1323.63689	286.06956	181.47203	126.08143	234.8487	238.33802	364.03097	271.75008	435.56038	333.86071	236.67469	375.14735	355.55479	312.15008	374.41513	341.18521	528.32128	435.13676	578.38468	348.01127	463.91149	289.86868	567.43594	381.98121	464.35228	428.12781	461.45975	313.37407	431.85427	363.41669	430.35482	408.32838	497.53151	351.83713	555.79495	453.3119	521.73187	199.59271	669.20853	596.67578	504.23996	444.77909	477.56577	380.40553	460.94395	394.70265	361.01497	392.37241	306.76953	365.92931	609.12119	397.24032	609.99029	374.54152	475.16286	384.89748	549.60444	508.32162	477.03433	444.41839	462.86578	455.84607	437.33652	436.06465	680.7697	440.72097	487.90266	299.55716	614.68267	419.41748	464.14254	315.78751	626.05971	533.20151	276.3895	123.73257	275.00647	262.40158	361.68911	290.38789	295.2224	273.53242	246.68397	309.67328	387.1292	352.84082	324.70583	286.02602	428.30695	257.499	413.86416	365.93342	373.97633	280.47299	395.80588	139.43999	296.64864	270.73853	189.89611	290.51259	345.27069	288.34483	317.77787	249.63626	452.26145	325.0998	486.94544	343.69562	251.4919	223.77405	256.17128	377.04001	376.61296	316.77486	256.14859	334.58706	211.56112	281.75235	336.21582	308.96422	414.48682	217.15137	398.46229	280.51233	278.30082	353.93243	309.67054	341.64282	347.225	243.86773	290.74941	321.66565	433.19022	289.65006	340.15807	279.56838	387.44848	249.52812	445.17741	340.43825	489.33042	284.23752	199.64061	169.43831
30	60	3681.12791	4827.87052	4726.89905	5903.25946	5776.05487	5628.43671	6618.84889	4598.7884	5146.52831	4571.48231	4617.39469	5100.11407	4564.81975	6594.73999	5767.8619	5008.01267	3853.0074	4980.77657	3052.38234	4441.55977	4525.11186	5833.55153	6089.66341	5467.72726	6265.30526	4638.3961	5481.77921	5234.55957	5998.41684	4783.8546	4737.96283	4996.09402	5411.65669	3192.96044	3092.00222	2311.54803	3278.82004	3237.90132	6042.56435	5363.18206	6502.95631	5894.52255	3959.49776	5409.84179	5265.71522	5359.76718	6017.4021	4757.49255	6373.49412	6673.88921	6275.13008	5252.74903	5750.525	5237.14066	6650.06084	5214.26446	6392.71248	7258.11789	5775.08802	6095.74915	6102.09242	6257.65988	5516.89475	6247.09154	5960.84732	5146.57277	6119.82801	6204.32248	6990.25676	4362.17703	7736.85595	6596.65165	6027.13156	6561.49069	6267.50333	6510.89241	4441.25476	5202.60168	5532.40939	5437.14884	6681.02325	5501.95372	6189.94887	6707.94338	6804.53024	5687.44705	5517.19984	6560.57906	7248.05545	6241.81608	6649.89846	7734.15901	6199.47589	7023.02673	6330.87728	6317.5373	6680.36578	6381.81864	6678.57448	4886.73102	6486.77432	6022.64793	6135.74297	4981.82425	7700.22816	5789.93093	4120.85369	2966.41173	4512.59452	4874.50315	3848.28281	4013.48889	4089.74326	4695.43839	3613.79819	4311.90047	4823.92228	5296.56875	4347.6959	4528.53111	4875.5275	3429.90567	4885.42473	5465.82653	4938.621	4851.25055	4977.93418	3239.53259	4493.70476	4100.04784	3249.73312	4344.6671	4042.28787	4072.51867	4170.37742	4420.91501	6142.79072	4858.77507	6365.6216	4506.6931	4146.09858	3644.20774	3958.70456	5632.26752	4351.37195	4096.54968	4207.37383	4422.7813	4135.84279	4668.34929	4074.91114	5244.85025	4695.6738	4064.58298	4809.63014	4565.1391	4239.70658	4379.18839	4438.71665	5443.32894	4710.31355	4255.95408	4074.6237	4390.11591	4259.48059	4267.91956	4746.33598	4073.7661	4730.9212	3884.41444	5758.07449	3903.945	6398.86424	4074.35014	2836.32637	2798.09368
60	90	7512.32494	10095.52768	10050.64519	12670.29016	12220.8856	11936.55418	14264.94099	11111.68505	10177.87815	8187.87605	9241.85192	10419.78643	9745.55682	12703.25077	10955.06627	9309.72998	6867.68786	10292.55866	6287.98815	7437.87475	9961.43497	12574.13525	13151.09869	10932.56948	13411.72509	9812.94587	9598.27833	9200.51838	10914.27961	9929.78191	11314.05916	10518.50886	6741.74222	5795.63818	7795.71141	6114.10021	6009.07791	5785.70317	12059.0042	10730.76842	14438.18516	13211.47849	9186.71086	11136.90458	11733.25537	11035.51752	13039.51184	10790.95337	13512.20444	13439.04441	11697.24686	11191.01684	10956.63678	11529.57664	13643.78011	11921.32734	13217.60556	15984.55844	12767.00699	12939.75048	13024.09262	13553.15819	11804.76913	13527.51491	13216.38518	11557.98601	12288.76254	12837.07585	14511.56608	9620.65567	16052.77598	13090.41158	12060.816	13637.17232	13756.75994	14423.43055	8970.73032	11361.37193	12297.58795	11742.53828	13382.05081	12076.38765	12907.93783	13897.60825	14655.42566	11834.856	10502.99141	13759.98354	15058.19687	14066.66298	13730.23938	16691.11423	13056.8903	14932.91544	13330.29426	14237.7794	13745.6044	13701.68871	13813.00455	11206.62863	12960.40769	13035.33378	13142.09411	9178.24561	16132.57458	11752.9959	8909.02588	5851.97502	10027.99462	10692.34772	9254.92511	8640.86954	9159.366	9750.18397	7862.91398	9584.51082	9873.76342	10958.66095	8470.02171	9897.50035	10502.33234	8139.3832	9820.67436	11875.64483	10455.9916	10509.85462	10793.63653	7278.9769	9586.10032	9272.3124	6813.06668	9793.57109	9411.4775	9234.06422	8497.56478	9415.52867	11946.71985	9215.20705	12828.18879	9470.15451	8010.03449	8044.4588	8750.80962	12397.84438	9583.53643	8943.63798	9574.12843	9746.19106	8419.21687	10278.25038	9037.04439	11153.04546	10402.7651	8526.00748	9624.76578	9706.27884	9536.58926	10975.32269	9521.56478	11884.327	10338.06903	9349.00819	8832.79755	9804.10855	8471.07844	9341.47307	10262.10906	9126.36473	9831.14068	8829.7329	11793.62831	8045.9305	13399.47832	8771.10174	6051.07744	5801.29275
90	120	10933.37564	17594.16139	14830.6734	19179.24823	19125.86431	18737.51177	21597.32992	16785.07024	15680.77202	12770.25872	14152.97573	15919.4532	14141.59408	17312.80775	18459.10689	15581.3488	12805.08424	14999.60595	9552.24779	13346.76856	14925.79668	19398.11854	20452.04928	17580.5455	20605.32731	15629.38697	14020.52786	14629.23268	21003.39092	15074.58159	11998.42513	13713.99078	10252.6909	8774.99383	10500.78133	8926.6726	9286.67632	7934.24937	19527.21051	16416.65194	21061.28707	20439.56355	13564.02724	17465.44032	17865.12375	17142.73379	19745.41351	16765.7087	19770.34799	21434.62942	19849.02017	17543.40555	16663.96044	18405.98049	20819.18045	18762.21237	20857.27964	24143.86869	19037.09625	19630.16246	19637.77214	21395.06252	18806.66946	21193.60978	19970.03995	17787.80858	18632.36991	19359.71439	21723.63396	14568.69295	25817.82231	19686.71954	20537.76815	21453.57159	20579.7251	20690.85872	13788.39807	17246.30611	18967.63561	17816.09695	21043.90823	18605.69501	19702.79944	21128.28629	21420.38773	18384.51214	16278.14755	20069.48915	22985.3709	21130.13106	20945.62227	25279.63774	19978.40007	22250.05413	20066.79789	21338.55599	19317.33178	21094.21915	21151.99171	16978.73756	19829.54186	20061.05106	20186.4165	13887.23089	26097.41683	18174.58861	13662.90211	8557.65913	14717.37371	16957.60813	13550.93721	14200.25627	14193.01294	15121.86456	11943.52294	14852.81882	14706.06944	17805.7941	13485.77782	15195.22836	15333.3602	12488.39617	15314.66929	18795.28602	16067.40092	15973.31586	16584.37143	10636.10804	14684.64334	13962.11955	11470.72648	15036.35954	14102.78487	14534.22667	13244.62322	14578.20432	17109.44414	14592.85409	22130.68109	14282.86576	13236.53925	12314.63565	13371.17139	18572.18502	13295.01705	13265.48283	14929.58493	15022.89762	13529.71033	15641.84903	13938.89735	16765.30302	15267.59826	13437.40665	14942.23136	14212.44283	15064.35093	16299.85512	14979.88647	17891.07112	15807.18804	13911.82754	13893.72116	15425.37756	12373.88329	14806.29311	15847.78222	14322.94027	15084.86083	13697.85643	17675.46602	11482.87315	21292.19384	13616.13819	9001.18637	9023.3848
120	150	14043.95025	22660.8116	20333.83557	24783.096	23483.19282	23291.86769	27346.21601	19897.19206	21390.33772	15650.46837	18110.02378	20454.00277	17822.17065	20392.04374	22044.14528	18607.52508	16232.03865	18132.99737	11345.15642	15667.55917	19217.32262	24942.17862	24525.22641	21945.54934	26572.73811	20423.54217	18168.09954	17773.92885	25978.67262	19148.54291	18851.84391	15206.28315	11745.81149	12352.45136	13480.50219	10804.87715	12531.7865	9632.69794	24256.9873	21595.68471	26205.82019	25287.73037	16985.41256	22726.97753	22945.45039	21398.05762	24220.27929	21261.18907	25539.71192	26287.07494	24560.99506	21994.15321	20224.89929	21921.65932	25719.54096	24577.86757	25582.02953	31048.80227	23892.63578	24643.51116	24603.98861	26422.82883	22478.39424	26467.69921	24511.77746	22586.26534	23771.05688	23769.46188	26919.12768	19601.27802	30706.83608	23895.20741	25477.98959	24113.1325	25626.64586	26633.18658	15537.72271	22145.5653	23807.23109	22531.06684	25698.51286	23299.66843	23610.85044	26659.55678	25676.39914	23929.72234	19189.76346	25516.22105	28007.14978	27090.63491	26076.2784	31837.79707	24296.95448	26769.17252	25153.66817	27293.81585	23880.10422	26761.25525	25817.3112	21750.90714	24367.78433	24663.21991	25466.0196	18960.22422	30232.74902	21930.76576	17229.29416	12007.36193	17898.9392	20557.58388	17002.15338	18972.59349	18123.02529	19256.52065	14689.37168	19394.98438	18517.03405	22284.92729	17749.08513	19355.29872	20038.96284	15835.18006	19508.64768	23955.80087	20042.68268	20685.46704	21053.35623	13582.11512	18286.0955	17612.16767	13528.05351	18375.92509	17483.69388	18175.56822	16804.82525	17910.25967	23213.10165	20285.87489	27078.71218	18284.73401	17423.60851	14777.80429	16449.11202	24188.5208	15748.36247	17927.05479	18498.13373	19236.32597	16842.62207	20364.95235	16819.10766	21919.29774	19282.47358	17551.67991	17338.9634	17957.27418	18483.14324	22422.55521	18715.78762	23063.57384	19518.16224	16557.69395	17526.25435	19363.90984	15047.7393	18771.668	19199.37283	17791.20723	18973.52472	16742.14102	22265.20767	16661.58144	25649.11179	16787.93747	11308.72812	11064.5845
150	180	14334.05225	18494.51598	20638.39064	26168.76491	25294.16502	25226.94631	28873.56117	21779.14514	20271.98213	17200.27971	19915.61673	20181.8279	17679.60313	21849.41703	26544.3555	19621.82391	18345.96983	17605.2811	12008.67765	16164.2976	20147.20983	26247.13942	26575.72372	23388.1923	28279.9112	20677.61567	19219.41445	19162.60066	24946.75075	19816.14599	21255.96419	16942.76769	11492.57232	11433.08618	13659.65219	11139.51202	11743.95448	9678.1933	25880.24359	21451.42516	27877.54672	27607.81518	17560.1375	23587.27096	24811.91443	23293.85581	25547.45253	22804.81146	26380.10503	28034.40082	24477.4046	23209.52053	21429.16025	24126.87694	26350.25868	24426.87518	26924.46531	31613.7438	25036.36404	26255.99171	25783.6562	28207.35917	23201.73562	27916.30511	26134.05016	24316.28927	24368.37429	25248.8002	27355.93979	21237.38264	32822.57897	24169.23444	25559.61166	25583.03058	26674.32361	27513.70768	17156.44961	23969.41505	25277.90977	23818.59693	27812.69543	24879.07176	24611.03859	27472.89019	26774.37792	24594.30575	19560.49904	26886.17008	29120.35802	27186.05711	27190.99354	33327.63861	25709.16705	28294.60208	26429.96827	28136.83858	23725.28084	28156.07421	27235.66691	22587.53021	25414.3673	25904.00864	28023.96609	20255.65528	32470.5916	22963.22736	18885.3937	12280.24533	19036.53844	23497.24424	17485.13042	19079.07424	19435.8915	21098.1738	15964.28008	20471.26388	20016.9012	24019.39409	18217.44503	20386.61167	20617.76024	16916.83858	19986.65776	24229.60411	20911.06456	22012.93816	22467.04123	15029.11987	19547.22236	19031.97613	14264.89728	19373.73402	18838.91214	20028.87701	17636.72709	19446.97435	22683.60479	21722.52142	28369.46934	18642.08542	17405.18235	15241.83893	17134.34404	25526.80606	17347.36492	18764.41889	19710.16368	19963.38308	17295.42916	21486.45973	17984.10523	22419.35399	20118.0884	18180.02155	18150.95766	19428.15617	19425.72776	22869.01198	19891.13923	23995.37669	21299.03042	17989.63402	18738.94572	20010.04646	15244.86008	19761.99196	20487.62725	18876.05429	20539.21277	17825.31008	24197.02778	17557.61209	29525.66866	17636.88584	11993.981	11715.12106
180	240	12699.87246	16909.9533	21335.93269	26920.44428	25664.93276	24747.66538	29672.27138	23180.3837	22299.21092	15570.58274	19240.10213	20044.65072	20223.51582	21011.58597	26558.51014	20643.82971	20556.05407	15268.83479	11216.55472	14917.93279	20946.25095	26865.4478	26703.81333	22726.95848	28803.26768	22619.7409	18749.68475	18773.60363	25820.00715	20685.86025	24067.10091	15203.51858	11534.41005	12415.4341	13751.75396	11694.48052	12333.65128	11049.42369	26193.46864	24277.68058	27930.19059	27149.17635	18553.17417	23914.46294	24680.22004	23751.85526	26254.68702	22938.81963	26074.21001	28268.12541	25923.59984	24193.66364	21785.30878	24432.60691	27094.89588	26434.68617	26630.63322	30822.5711	24544.37388	27469.56152	26147.59985	28366.55345	22878.46896	27922.916	26104.42094	23786.06856	24837.8314	24943.93219	27909.89158	21729.34684	32187.2304	25237.65172	26719.09308	26136.61805	26572.93096	27783.60441	17388.34278	23677.91977	25744.01118	24152.86694	26925.77296	25071.13287	24713.11429	27861.55529	26945.19798	25304.90428	19842.30259	26257.09578	28338.7514	27603.79211	26944.30744	32022.36227	25129.68283	29617.86979	26161.0539	28187.52102	23861.84913	28052.15727	26747.81264	22886.73739	25603.5872	25928.8454	25899.50157	19829.99601	30980.23277	23841.89143	19655.00901	13767.31467	20293.6163	23782.66039	18869.01042	18972.38623	19840.40529	20240.59369	16544.93816	20420.45796	19434.76947	23823.76971	19179.80357	20702.57716	20880.80762	17552.38383	20490.62096	24951.60445	20484.73022	20869.66767	22485.85609	15997.51755	20332.06741	19540.14388	14874.15986	20441.44616	19775.56195	20504.66519	18405.1663	19199.14333	23279.19488	20914.94661	28551.07979	19295.35422	19134.1214	15721.01363	18827.74438	25780.13267	18844.7258	18919.17322	21244.49978	20496.57892	17454.97872	21863.73061	17652.09936	22901.57481	20563.7976	19218.87052	18948.62635	19055.0462	19527.51397	22235.04447	19953.83295	23504.61268	21902.20227	18860.32463	19651.6978	20554.40092	15406.84583	20720.68231	20651.95423	20302.19141	21068.98945	18399.93569	23176.02474	17773.95823	27763.09855	18346.39221	12341.33944	12077.28982
240	300	12539.37704	19332.31198	20792.3699	25037.11259	25089.17791	23450.28988	28541.32494	22531.89249	20643.01878	14918.39698	18845.77408	19781.49771	19487.58162	19528.00488	26158.79318	19492.9375	16555.95379	13647.03602	10965.19644	13275.44694	19789.62352	25026.7471	25721.31911	22509.64506	27622.52549	20702.26251	17583.54452	18373.27264	25512.52035	20726.25799	19996.81136	14079.56057	8143.5905	11935.82704	12539.75102	12008.63863	12267.55464	10778.79812	24708.16537	22743.03643	26394.74482	24688.31863	17044.72741	22973.20318	22930.86882	22836.01042	24236.15726	21419.83836	23891.50347	26332.0549	23730.56216	23248.18736	20524.48705	22608.48658	25003.62845	24885.54137	25225.99634	27794.94182	23254.91364	25861.63978	24574.51896	26430.51703	21843.45808	26501.99289	24650.35557	22620.1621	23345.35469	23408.50408	26448.05801	20372.18627	28617.2352	23326.62223	24619.81404	24263.46075	24439.14651	25062.02186	16868.75907	23017.05075	23844.08917	23192.30477	24545.79043	22797.96009	23509.83079	25663.73062	25157.12644	24293.71101	19701.39142	23572.8095	26213.12229	26461.34099	25196.76287	29060.8024	23721.62512	26958.73555	24268.70692	26284.51674	22355.02643	26173.00628	24847.59977	21476.11456	23673.78852	24442.53882	25006.49478	19897.24127	28253.28232	22433.24249	18571.91516	13590.56429	18797.55458	21392.75572	18012.85232	18744.10475	19086.08249	20084.86475	15604.99178	19821.90219	18375.47075	22569.73536	18326.2708	20271.54593	19954.90412	17199.1481	18916.70818	23342.15253	19574.12498	19781.37287	21502.01517	15605.92713	19451.66368	18683.76892	14714.78476	19127.33454	18500.91693	19822.12906	17477.10534	18478.33691	23218.39158	20415.80934	25660.4723	18493.58585	17686.97905	15462.41611	17437.72972	23639.01205	19078.78849	18814.15738	20115.87279	20167.33995	16713.47651	20613.54147	17324.68553	21187.07312	19318.13471	18657.00681	19095.4523	17998.92938	19096.33529	22185.38814	20006.54708	21587.06177	20536.00023	17657.62251	18497.13252	19660.57056	14380.15584	19432.42254	19426.06009	19119.17136	19496.98753	17527.57839	21500.39245	17632.33204	24754.67681	17622.60961	12055.51578	12044.73865
300	360	10871.99347	15726.21014	19809.4709	23481.4587	23697.6345	21854.91516	26593.80094	21917.24477	20217.03189	13548.55669	17733.85715	18255.98258	17853.73117	16840.07123	23926.68744	18748.17011	18747.27606	12454.98617	9439.1101	12917.84838	18869.03547	23354.75059	23916.39888	20184.07691	26261.81371	20349.53659	16805.83035	17204.23377	24517.24784	19018.76703	23692.43229	12598.0167	8597.21152	10677.40433	11873.60968	10647.75666	10757.07434	10607.56914	22746.83148	21701.21921	23728.4544	23221.07617	17353.69005	21043.04706	21408.48738	21028.82987	21664.4991	19885.99811	22329.14587	24379.79152	21919.73339	21500.42605	20240.72523	20980.57832	23159.07945	22762.58101	23009.30744	25173.08823	21149.728	24069.17793	22535.42402	24273.45548	21266.38371	24267.05239	22516.70849	21119.82787	21739.89372	21874.15418	23582.95668	19271.42294	26364.96257	21590.78805	22121.0789	21957.81049	22701.96163	22858.58243	15927.39613	21283.72703	22085.11487	21429.23426	23027.18293	21451.18903	21977.31011	23319.72752	22919.2214	22001.91625	18745.94507	21574.53969	24057.12596	23739.80435	23044.94228	24904.95675	21724.81947	24428.8637	22303.472	24037.16769	21137.44035	23991.21749	22416.27217	19950.36022	21605.47113	22449.68211	23213.10108	19361.75963	24906.30682	20726.12672	17620.88092	13871.94768	17340.80048	20707.06451	17765.5102	17307.09231	18167.01292	18760.51309	14404.2703	18275.493	17893.83189	20674.58935	17142.95504	19158.38267	18599.41296	15994.59298	18300.50813	22865.84952	18704.19076	18110.78713	20107.91139	15076.08325	18351.02004	17084.44386	14484.61278	18211.40805	17554.45644	18807.26298	16709.25766	17700.75844	20716.41266	20179.24932	23573.34849	17915.43235	16886.28255	13824.14417	16799.00171	21690.20103	17385.08207	17505.75902	18886.85945	18261.97812	15865.85115	19243.75642	16872.5352	19754.62831	17961.17896	17494.14124	17613.72373	17035.97638	17569.43343	20244.84184	18491.53715	19374.64797	19225.60649	16510.81796	17327.86454	18260.69591	13958.61216	18484.49494	18106.56806	17859.48235	18055.8539	16964.4431	21398.95847	17162.22253	23189.15995	16973.09655	11734.91517	11630.02608
360	480	10620.82125	14191.63387	18303.49207	20846.18386	22046.42136	19861.07556	24263.51741	20869.07112	19309.44418	12342.42888	16741.24591	17005.35694	16810.17612	15717.1674	22404.52145	17774.82609	17383.27076	11322.88446	9361.91657	12510.69991	17601.89819	21104.05732	22574.02295	17842.0667	23519.78898	19835.28828	15843.90954	16692.30458	21638.35962	18071.13203	18019.13175	12051.95483	7556.35208	10589.07956	10378.91264	10165.13189	10688.5749	10694.96869	20341.33719	18422.68605	20612.11193	20460.12186	15241.79881	19061.48326	19002.1196	18827.2712	19368.8457	17724.45372	19829.2453	20864.60605	19507.24517	19059.48511	17451.50712	19302.8629	20513.63264	19236.65428	19934.12467	21288.07146	19001.83104	20395.71431	19635.94848	21126.15074	19166.82232	21311.76027	19811.87311	18832.71729	19126.11307	19286.2369	21363.1779	17735.97227	21809.45599	20211.33869	19562.89022	19802.61079	19909.05129	20429.99843	14505.56926	19386.06942	19665.63132	19172.912	19945.06066	19088.39134	19417.74644	20351.85021	20545.66781	19550.72424	16481.24721	18980.66152	21078.62924	20690.14575	19948.42053	22059.5174	19191.60926	21304.96939	19659.16196	20781.51043	19352.06438	21005.97781	19642.49338	18120.38212	19587.28374	19726.56763	20252.64937	17253.95397	21766.74971	18989.51959	16513.07219	12450.1854	15967.45153	18272.31073	17072.37895	16309.77643	16249.56509	17336.47079	13501.06253	16403.32664	16528.104	18309.28717	16111.20016	17736.25903	17784.68348	14654.17024	16824.89715	19641.68514	16677.36775	16164.88663	18104.19867	13039.40588	16249.40908	15541.28925	13642.99701	16841.23068	16029.14704	16599.07912	15318.29004	16274.98788	19663.5431	18932.9882	19862.22184	16889.30799	15524.55288	13597.39146	15190.89822	19341.22388	16787.19681	16286.58158	16822.31046	17332.85703	14620.19038	17210.90733	15625.66337	17364.28967	16621.75659	15955.36138	16474.8335	15482.12217	16156.42371	18715.65944	16563.73601	17276.98459	17121.63463	14758.82129	15576.57687	16323.59772	13615.326	16708.20998	16650.24881	16233.41917	16892.94182	15529.69407	18168.34666	16678.73762	20084.67593	15846.22599	11437.71183	11182.82671
